# NS station codes
# based on
#  http://home.kpn.nl/judoschaak/treinen/afgiftepunten/afgiftepunten.html
#  http://home.planet.nl/~schif026/keuzenl.html
#  http://www.numdex.nl/NSstationnummers.html
#  http://wiki.ovinnederland.nl/
#  http://www.ns.nl/api
# and many direct observations
#
# Last update:
#  12-08-2013
#
# Confirmation needed:
#  250  Gendringen, can't find any info on this station besides the first url...
#
# Temporary stations (*NOT* included):
#  000    Deventer De Scheg     	6.213606	52.249176
#  406    Leeuwarden Achter de Hoven	5.81639 	53.19889
#  472    Nijverdal West        	6.449275        52.367085
#  608    Eijs-Wittem           	5.92479 	50.82317
#  712    Gulpen-Wijlre         	5.898056	50.833057
#
# Closed stations (included):
#  204    Emmen Bargeres
#  250    Gendringen
#  393    Leidschendam-Voorburg
#  488    Nijmegen Heyendaal
#  510    Pijnacker
#  522    Berkel en Rodenrijs
#  528    Rotterdam Bergweg
#  532    Rotterdam Hofplein
#  535    Rotterdam Kleiweg
#  536    Rotterdam Wilgenplas
#  660    Voorburg 't Loo
#  730    Zoetermeer Stadslijn
#  739    Zoetermeer Centrum West  
#
company	ovcid	name                    	lon     	lat
# station/Fe codes
4	 217	Enschede de Eschmarke   	6.9511113	52.22139
4	 218	Etten-Leur              	4.6358333	51.575
4	 219	Eijsden                 	5.71    	50.771946
4	 221	Enschede Drienerlo      	6.838889	52.2375
4	 226	Almere Oostvaarders     	5.3005557	52.40333
4	 227	Arnhem Zuid             	5.8519444	51.955
4	 228	Amersfoort Vathorst     	5.433889	52.19278
4	 229	Apeldoorn Osseveld      	6.0044446	52.21528
4	 230	Bovenkarspel Flora      	5.2527776	52.69611
4	 231	Amsterdam Holendrecht   	4.9601  	52.2981
4	 232	Franeker                	5.5483093	53.18245
4	 233	Apeldoorn de Maten      	6.0005555	52.205276
4	 234	Eygelshoven Markt       	6.0602474	50.89605
4	 235	Amsterdam Science Park  	4.9485683	52.35296
4	 236	Boven-Hardinxveld       	4.878056	51.832222
4	 238	Groningen Europapark    	6.58519 	53.20489
4	 239	Geerdijk                	6.56674 	52.47625
4	 241	Gaanderen               	6.3486  	51.93074
4	 242	Helmond Brandevoort     	5.607222	51.462223
4	 244	Geldermalsen            	5.271111	51.88278
4	 245	Geldrop                 	5.5505557	51.419724
4	 246	Geleen Oost             	5.8430557	50.966946
4	 248	Geleen-Lutterade        	5.8247223	50.975555
4	 250	Gendringen              	6.377442	51.872783
4	 251	Gilze-Rijen             	4.926111	51.58361
4	 253	Goes                    	3.8905556	51.498055
4	 254	Goor                    	6.5844445	52.230278
4	 256	Gorinchem               	4.9683332	51.83389
4	 257	Gouda Goverwelle        	4.7408333	52.015
4	 258	Gouda                   	4.7044444	52.0175
4	 259	Gramsbergen             	6.675833	52.609165
4	 262	Glanerbrug              	6.9744444	52.218613
4	 263	Groningen               	6.564722	53.210556
4	 264	Groningen Noord         	6.5563173	53.23015
4	 266	Grou-Jirnsum            	5.8225  	53.08889
4	 267	Grijpskerk              	6.3097787	53.25574
4	 270	Haarlem Spaarnwoude     	4.6730556	52.38278
4	 278	Den Haag Mariahoeve     	4.3694444	52.090557
4	 279	Den Haag Moerwijk       	4.308611	52.05389
4	 280	Den Haag HS             	4.3225  	52.06972
4	 282	Den Haag Centraal       	4.325   	52.080276
4	 285	Haarlem                 	4.6383333	52.38778
4	 292	Hurdegaryp              	5.934543	53.218777
4	 293	Hardenberg              	6.628611	52.572777
4	 294	Harderwijk              	5.6197224	52.3375
4	 295	Hardinxveld-Giessendam  	4.8358335	51.830555
4	 296	Harlingen               	5.4251933	53.17042
4	 297	Haren                   	6.6172223	53.17611
4	 298	Harlingen Haven         	5.4112887	53.174915
4	 299	Helmond Brouwhuis       	5.7033334	51.470276
4	 300	Helmond 't Hout         	5.6313887	51.468056
4	 301	Heerenveen Ijsstadion   	5.9438887	52.935276
4	 302	Heemstede-Aerdenhout    	4.6066666	52.359165
4	 303	Den Helder Zuid         	4.764167	52.9325
4	 305	Heerenveen              	5.9141665	52.961388
4	 306	Heerhugowaard           	4.8227777	52.669724
4	 307	Heerlen                 	5.975   	50.890835
4	 308	Heeze                   	5.5694447	51.385
4	 309	Heiloo                  	4.7005553	52.599445
4	 310	Heino                   	6.2211113	52.427223
4	 311	Den Helder              	4.7611113	52.955276
4	 312	Hengelo Oost            	6.8194447	52.26889
4	 313	Helmond                 	5.6619444	51.475555
4	 314	Hengelo FBK stadion     	6.7927723	52.257412
4	 315	Hemmen-Dodewaard        	5.6737256	51.922215
4	 316	Hengelo                 	6.793889	52.261665
4	 317	Heemskerk               	4.6869445	52.495277
